PH,AP,SOC,TN,TP,Population,age010,age6580,Temperature,Precipitation,DEM,Road,GDP,NDVI,Longitude,Latitude,Tetracyclines
7.81,0.032,3.04,2.524,1.311,5458,10.2445252,7.549280939,15.67925,873.6548,1941,7.020054,14148,108,102.835116,24.849736,16.21171974
7.81,0.0242,1.83,1.437,1.217,166,10.24446511,7.549300808,15.76196,870.2194,1939,3.722746,14148,89,102.829063,24.849645,5.884415493
7.53,0.014,0.42,0.466,0.708,1967,10.24445818,7.549271077,15.80194,864.6584,1921,6.437528,7906,112,102.792299,24.78975,4.969655328
8.01,0.0327,1.06,0.833,1.102,1967,10.24445895,7.549268598,15.80194,864.6584,1921,5.224736,11892,92,102.794476,24.787468,1.359148457
8.07,0.0887,1.27,1.381,4.393,140,10.24446925,7.549288355,15.80112,863.7336,1925,5.224736,11892,96,102.795618,24.782453,1.822958535
7.52,0.185,1.66,2.009,5.126,140,10.24445502,7.549265044,15.80112,863.7336,1921,5.224736,11892,97,102.794718,24.780832,80.23844675
7.98,0.0343,2.28,1.803,0.926,16377,14.05473997,10.32028462,15.36803,922.7126,1896,7.124818,13998,105,103.796588,25.504755,1.10465682
6.03,0.00357,2.94,2.562,0.634,6528,14.05474047,10.32028687,15.43677,919.3023,1886,5.682664,13998,147,103.787817,25.500015,5.566705246
6.48,0.0799,4.75,3.563,1.14,9573,14.05473815,10.32028562,15.43677,919.3023,1886,5.682664,13998,134,103.788391,25.499942,3.82383198
6.32,0.0605,7.02,4.222,0.962,6528,14.05474013,10.32028489,15.32452,915.4583,1886,5.682664,13998,157,103.786909,25.500542,0.644030684
6.61,0.067,4.39,3.393,1.112,6528,14.05474013,10.32028489,15.32452,915.4583,1886,5.682664,13655,164,103.78656,25.50098,0.444359549
5.49,0.0391,3.89,3.066,0.977,6528,14.0547392,10.32028496,15.32452,915.4583,1886,5.682664,13655,162,103.786742,25.501511,0.625183623
6.41,0.0561,4.39,3.29,0.934,6528,14.05473847,10.32028594,15.32452,915.4583,1886,5.682664,13998,167,103.787114,25.501055,0.203058963
7.51,0.0402,4.98,3.972,0.914,6528,14.0547384,10.32028535,15.35026,919.6193,1886,5.682664,13998,148,103.78791,25.50199,0.270743609
6.03,0.0216,3.95,2.971,0.811,6528,14.05473914,10.32028313,15.35026,919.6193,1886,5.682664,13998,84,103.788406,25.501842,0.170326088
6.99,0.0116,0.42,0.547,0.472,20157,14.05473893,10.32028568,15.36803,922.7126,1877,7.124818,14174,106,103.800213,25.500913,0
7.52,0.0764,3.72,2.612,1.62,16377,14.05473997,10.32028462,15.36803,922.7126,1896,7.124818,14174,83,103.79674,25.505083,0
7.81,0.0382,1.61,1.232,1.221,8144,14.05473964,10.32028608,15.32129,922.3109,1896,4.558052,13373,136,103.798281,25.508987,0.315791946
7.79,0.0218,1.6,1.554,0.994,8144,14.05473854,10.32028585,15.36803,922.7126,1896,4.558052,13373,128,103.798083,25.508577,0.422965355
7.74,0.0298,2.64,2.369,1.091,15716,14.05473909,10.32028604,15.47216,920.1822,1869,8.044858,13257,112,103.807744,25.494077,0.144692845
7.71,0.0387,8.46,6.436,1.622,15716,14.05474006,10.32028536,15.47216,920.1822,1869,8.044858,15179,100,103.806355,25.494039,0.173570795
7.96,0.0139,2.71,2.051,0.574,25210,14.05473908,10.32028727,15.52587,919.1609,1869,8.356777,13933,134,103.808183,25.486107,6.012661758
7.89,0.0254,1.5,1.492,0.913,1827,14.05473434,10.32028365,15.52587,919.1609,1868,8.356777,13933,129,103.811702,25.48518,0.13312222
7.95,0.0231,1.37,1.362,1.036,1827,14.05473755,10.32028931,15.52587,919.1609,1865,8.356777,13933,105,103.812626,25.485481,3.814529321
7.69,0.0185,1.19,1.281,0.861,1827,14.05473884,10.32028787,15.52916,916.0648,1865,8.356777,13933,122,103.81459,25.485802,0.062627454
7.91,0.0087,2.49,1.847,0.57,8922,14.05473907,10.32028617,15.49783,912.9941,1875,8.004574,15134,125,103.802365,25.468489,0.178516564
7.72,0.0178,3.84,2.74,0.864,8922,14.05473648,10.32028493,15.49783,912.9941,1875,8.004574,15134,140,103.804146,25.46895,0
7.88,0.0205,2.77,2.22,0.594,8922,14.05473907,10.32028143,15.49783,912.9941,1875,8.004574,15134,156,103.80315,25.469858,0.111086189
7.95,0.0219,0.95,1.169,1.08,113,14.05472889,10.32029883,15.57698,910.7575,1865,7.997175,14398,108,103.811614,25.470009,0.14477772
7.59,0.0445,2.79,2.362,0.884,8922,14.0547375,10.32028468,15.49783,912.9941,1875,7.509626,15323,131,103.802505,25.47412,0.236176233
8.04,0.00665,0.35,0.47,0.403,731,14.05473862,10.3202828,15.57735,907.8959,1868,6.594207,14456,88,103.81292,25.456181,0.075047606
7.96,0.0121,1.32,1.418,0.815,425,14.05473698,10.32029391,15.53115,908.8423,1877,6.278296,12914,171,103.806171,25.449813,0.256901268
8.07,0.0153,1.72,1.774,0.771,425,14.05474131,10.3202936,15.53115,908.8423,1877,6.278296,7067,145,103.807468,25.447259,0.095321356
8.04,0.0415,1.74,1.821,1.01,734,14.05473856,10.32028502,15.53115,908.8423,1877,6.278296,7067,123,103.808569,25.44699,0.146549999
7.77,0.0195,0.5,0.802,1.05,200,14.05474406,10.32028595,15.50909,908.4933,1871,6.455521,6122,185,103.808582,25.43962,0.094530418
7.66,0.0171,1.44,1.473,0.827,70,14.05471866,10.32031913,15.50909,908.4933,1883,6.455521,11865,194,103.80647,25.438926,0.233952199
7.6,0.0207,1.36,1.579,0.772,70,14.05473726,10.32026895,15.50909,908.4933,1883,6.455521,11865,188,103.806406,25.437488,0.049197734
7.77,0.118,3.6,3.844,1.188,200,14.05475106,10.32029715,15.50909,908.4933,1871,5.80968,5988,185,103.809586,25.435552,99.36156597
7.41,0.108,3.01,2.661,1.347,8253,14.05473906,10.32028773,15.32982,923.9515,1884,5.756476,13373,116,103.804804,25.515526,0.314292756
7.13,0.0145,1.15,1.007,0.524,9745,14.05473952,10.32028577,15.32495,921.6628,1884,9.208271,13392,120,103.804692,25.517178,2.335152777
8.01,0.0637,4.79,4.098,1.063,6488,14.05473955,10.32028554,15.36971,923.801,1872,5.756476,14066,99,103.81393,25.516112,1.713691416
7.38,0.0716,4.26,3.594,1.245,1823,14.05473972,10.32028597,15.36971,923.801,1872,5.756476,14066,129,103.813877,25.516667,0.430171397
7.67,0.0167,1.76,1.449,0.56,1823,14.05474085,10.32028303,15.34213,920.0067,1872,9.208271,13590,104,103.813689,25.517466,0
7.92,0.0344,1.94,1.682,0.794,1823,14.05473833,10.32028624,15.34213,920.0067,1872,9.208271,13590,149,103.81332,25.518346,0.159613462
7.61,0.0357,2.82,2.029,0.804,6579,14.05474128,10.32028855,15.29472,918.5035,1872,7.608544,13769,142,103.806745,25.52815,0.053888017
7.87,0.0196,2.27,2.171,0.788,6579,14.05473995,10.32028966,15.29472,918.5035,1872,7.608544,13769,88,103.807478,25.528187,0.557675493
7.6,0.0102,1.07,1.088,0.548,9745,14.05473533,10.32029463,15.32297,918.9533,1872,6.032545,13392,135,103.802826,25.523255,2.809019014
7.92,0.0165,1.65,1.498,1,9745,14.05474873,10.32027742,15.32297,918.9533,1872,6.032545,13392,153,103.801242,25.523929,0.334733965
7.76,0.0346,2.03,1.746,0.751,9745,14.05473881,10.32028447,15.32297,918.9533,1872,6.032545,13392,99,103.804007,25.523122,0.903529116
7.78,0.0288,4.88,3.487,0.852,9745,14.05473883,10.32028483,15.32495,921.6628,1884,9.208271,13590,107,103.807757,25.52076,0.954284297
7.99,0.0076,1.27,1.194,0.388,1646,14.05474271,10.32028826,15.35495,914.8564,1863,8.641538,13482,173,103.813688,25.541992,0.277591518
7.65,0.0133,1.82,1.511,0.608,5212,14.05473973,10.32027483,15.35495,914.8564,1863,5.505541,12938,141,103.816565,25.540968,0
7.95,0.0096,1.49,1.305,0.436,1646,14.0547438,10.32028078,15.34698,911.2365,1863,8.568688,13096,141,103.81362,25.544041,0.111576656
7.94,0.0148,1.5,1.182,0.732,2395,14.05473568,10.32028616,15.30038,913.9832,1875,8.641538,14787,128,103.804635,25.54246,0.085171129
7.74,0.0189,3.06,2.65,1.044,2395,14.05473132,10.32028452,15.23755,912.2109,1875,5.016229,14787,151,103.803592,25.542605,0.34115687
7.71,0.0249,2.32,1.921,0.846,7195,14.05474209,10.32028871,15.25836,917.6575,1874,5.016229,14787,160,103.802052,25.538596,0.285081439
7.76,0.0836,4.75,3.661,1.586,7195,14.05474065,10.32028412,15.26963,918.2795,1874,8.641538,14787,122,103.805066,25.537532,0
7.8,0.053,2.39,2.262,0.735,6122,10.76842133,10.72706898,17.40475,806.6144,1781,8.088943,3348,123,101.553201,25.039837,0.605480365
7.55,0.0137,2.32,2.313,0.532,6122,10.76842218,10.72706805,17.39829,806.304,1787,8.088943,3348,99,101.557386,25.039474,0.231829118
6.22,0.114,2.44,1.442,0.653,46872,10.76842038,10.72706723,17.39829,806.304,1787,6.550933,3348,159,101.562275,25.039044,0.127810726
5.04,0.315,5.08,5.27,1.532,6122,10.7684222,10.72706746,17.40475,806.6144,1781,8.088943,3348,113,101.553569,25.041582,168.0100731
7.2,0.267,2.16,3.676,1.661,6727,10.76842227,10.72707027,17.43589,806.3145,1781,9.644625,3011,133,101.551779,25.0456,2.587870091
6.74,0.00194,1.08,0.92,0.352,7293,10.76842167,10.7270684,17.43589,806.3145,1781,10.5054,3011,96,101.549509,25.046754,0.829031342
6.01,0.348,2.48,2.661,1.301,6122,10.76842227,10.72706886,17.40475,806.6144,1812,8.516628,3428,72,101.550264,25.037878,0.712131758
5.76,0.0048,0.98,1.039,0.48,153,10.7684248,10.72706108,17.34534,796.2756,1793,5.97325,2276,113,101.575984,25.025158,0.32151737
7.63,0.0331,1.8,1.7,0.449,825,10.76842417,10.72706561,17.36878,800.3743,1786,6.796321,3688,104,101.568655,25.030757,0.618450751
7.42,0.0143,1.74,1.622,0.368,825,10.76841955,10.72707009,17.36878,800.3743,1786,6.796321,3688,110,101.568646,25.032556,0.234020051
7.69,0.0214,1.7,1.703,0.469,925,10.76842192,10.72706816,17.42169,801.1321,1786,6.796321,3688,116,101.567986,25.035807,0.280984338
7.4,0.0147,1.02,0.958,0.394,825,10.76841441,10.72708206,17.39565,797.3564,1792,5.249473,1643,68,101.573599,25.029404,0.474980083
6.94,0.0111,1.64,1.486,0.499,825,10.76842185,10.7270698,17.39565,797.3564,1792,5.249473,1643,120,101.573928,25.031398,0.206593419
7.4,0.0129,2.38,1.921,0.534,7566,10.76842196,10.72706517,17.30258,799.2272,1790,7.324842,3610,154,101.566224,25.025341,0.069981033
7.49,0.06,2.98,2.526,1.016,106,10.76841669,10.72706886,17.18433,800.6824,1812,5.886914,1958,101,101.588629,25.011388,0.151628335
7.21,0.007,1.4,1.206,0.241,106,10.76843784,10.72705362,17.22867,800.4785,1812,5.886914,1958,146,101.583984,25.013552,0
7.03,0.0196,2.13,1.778,0.419,106,10.76842801,10.72705238,17.22867,800.4785,1812,5.886914,1958,142,101.584873,25.011684,0
7.32,0.0151,1.77,1.398,0.869,141,10.76841482,10.72706573,17.30613,796.4995,1812,5.886914,1940,127,101.582416,25.01799,0.148753149
8.08,0.0148,1.24,0.958,0.378,58,10.76841683,10.72707094,17.30613,796.4995,1812,5.886914,1958,148,101.585612,25.01767,0.21169002
8.04,0.0132,1.64,1.163,0.398,58,10.76842757,10.72704938,17.24284,796.4668,1812,5.886914,1958,142,101.588613,25.017627,0.506158988
